Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;;LONGITUD;LATITUD;DIRECCION
001 a;440443,61;4474290,65;04/12/2019;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;2;BiciMAD;30;;-3.70199802576925;40.4171107953153; CALLE DE ALCALA, 2
001 b;440480,56;4474301,74;06/02/2020;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;6;BiciMAD;30;;-3.70156356056622;40.4172133427666; CALLE DE ALCALA, 6
2;440134,83;4474678,23;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;MIGUEL MOYA, CALLE, DE;1;BiciMAD;24;;-3.7056738708445;40.4205801410996; CALLE DE MIGUEL MOYA, 1
3;440012,98;4475760,68;23/06/2014;07  CHAMBERÍ;07-02 ARAPILES;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL;2;BiciMAD;18;;-3.70721222717123;40.4303225635761; PLAZA DEL CONDE DEL VALLE DE SUCHIL, 2
4;440396,4;4475565,36;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;3;BiciMAD;24;;-3.70267393708668;40.4285905943729; CALLE DE MANUELA MALASAÑA, 3
5;440446,9;4475539,69;23/06/2014;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;106;BiciMAD;27;;-3.70207622424503;40.4283629640739; CALLE DE FUENCARRAL, 106
6;440754,26;4475071,08;23/06/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;63;BiciMAD;24;;-3.69840932124385;40.4241634531642; CALLE DE HORTALEZA, 63
7;440811,97;4475187,49;23/06/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;75;BiciMAD;21;;-3.69773989991129;40.4252162366264; CALLE DE HORTALEZA, 75
8;441020,56;4475463,16;23/06/2014;07  CHAMBERÍ;07-04 ALMAGRO;ALONSO MARTINEZ, PLAZA, DE;6;BiciMAD;24;;-3.69530667556384;40.4277144154432; PLAZA DE ALONSO MARTINEZ, 6
9;439813,51;4474129,47;23/06/2014;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;9;BiciMAD;24;;-3.70940929938434;40.4156134806993; PLAZA DE SAN MIGUEL, 9
10;441292,12;4475204,43;23/06/2014;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;16;BiciMAD;24;;-3.69208159439143;40.425402860376; CALLE DEL MARQUES DE LA ENSENADA, 16
11;440314,86;4475395,19;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;20;BiciMAD;24;;-3.7036191769509;40.4270517794408; CALLE DE SAN ANDRES, 20
12;440095,53;4475560,73;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;87;BiciMAD;24;;-3.70622023810713;40.4285272736706; CALLE DE SAN BERNARDO, 87
13;439733,78;4475434,65;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;22;BiciMAD;24;;-3.71047268550976;40.427365360857; CALLE DEL CONDE DUQUE, 22
14;439476,22;4475282,19;23/06/2014;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;VENTURA RODRIGUEZ, CALLE, DE;2;BiciMAD;24;;-3.71349429901625;40.4259732363497; CALLE DE VENTURA RODRIGUEZ, 2
15;440006,74;4475294,34;20/02/2020;01  CENTRO;01-05 UNIVERSIDAD;SAN VICENTE FERRER, CALLE, DE;62;BiciMAD;21;;-3.70724177921288;40.4261211146543; CALLE DE SAN VICENTE FERRER, 62
16;439982,59;4474940,94;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;22;BiciMAD;21;;-3.7074930977251;40.4229357859724; CALLE DE SAN BERNARDO, 22
17;440263,35;4474964,43;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;CARLOS CAMBRONERO, PLAZA, DE;2;BiciMAD;24;;-3.70418590638544;40.423167599299; PLAZA DE CARLOS CAMBRONERO, 2
18;440653,13;4474711,92;23/06/2014;01  CENTRO;01-04 JUSTICIA;PEDRO ZEROLO, PLAZA, DE;1;BiciMAD;24;;-3.69956787320867;40.4209207635836; PLAZA DE PEDRO ZEROLO, 1
19;441008,01;4474818,09;23/06/2014;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;4;BiciMAD;24;;-3.69539476751156;40.421902428886; CALLE DE PRIM, 4
20;441021,37;4474517,89;23/06/2014;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;24;;-3.69520945131572;40.4191990297868; CALLE DE ALCALA, 49
020 ampliacion;441014,52;4474516,49;10/07/2018;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;6;;-3.69529006007843;40.4191859323884; CALLE DE ALCALA, 49
22;440064,4;4474630,53;23/06/2014;01  CENTRO;01-06 SOL;JACOMETREZO, CALLE, DE;1;BiciMAD;24;;-3.7064995247826;40.4201453675747; CALLE DE JACOMETREZO, 1
23;439912,56;4474639,35;23/06/2014;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;S/N;BiciMAD;24;;-3.70829006444;40.4202138717013; CUESTA DE SANTO DOMINGO, S/N
24;439715,67;4474384,75;23/06/2014;01  CENTRO;01-01 PALACIO;CARLOS III, CALLE, DE;1;BiciMAD;24;;-3.71058663483692;40.4179060785629; CALLE DE CARLOS III, 1
025 a;440104,48;4474318,99;23/06/2014;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;;-3.70599777175515;40.4173417566918; PLAZA DEL CELENQUE, 1
025 b;440102,16;4474309,87;23/06/2014;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;;-3.70602425716757;40.4172594325046; PLAZA DEL CELENQUE, 1
26;441081,06;4475031,74;23/06/2014;01  CENTRO;01-04 JUSTICIA;SALESAS, PLAZA, DE LAS;8;BiciMAD;24;;-3.69455351350154;40.4238322663594; PLAZA DE LAS SALESAS, 8
27;440984,74;4473861,49;23/06/2014;01  CENTRO;01-03 CORTES;JESUS, CALLE, DE;6;BiciMAD;27;;-3.69558029823837;40.4132832615549; CALLE DE JESUS, 6
29;440968,62;4474190,29;23/06/2014;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;25;BiciMAD;24;;-3.69580079339477;40.416244109804; CALLE DEL MARQUES DE CUBAS, 25
30;439635,83;4474544,08;23/06/2014;01  CENTRO;01-01 PALACIO;PAVIA, CALLE, DE;6;BiciMAD;27;;-3.7115427820078;40.4193356079088; CALLE DE PAVIA, 6
31;440050,38;4474208,74;23/06/2014;01  CENTRO;01-06 SOL;MAYOR, CALLE;18;BiciMAD;27;;-3.70662502003271;40.4163446779356; CALLE DE MAYOR, 18
32;440090,59;4474042,64;23/06/2014;01  CENTRO;01-06 SOL;PROVINCIA, PLAZA, DE LA;1;BiciMAD;18;;-3.70613545658834;40.4148512668813; PLAZA DE LA PROVINCIA, 1
33;440340,26;4474220,99;19/02/2019;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;3;BiciMAD;21;;-3.70320960362807;40.4164758625998; CALLE DE LAS CARRETAS, 3
34;440313,43;4473992,08;23/06/2014;01  CENTRO;01-03 CORTES;JACINTO BENAVENTE, PLAZA, DE;S/N;BiciMAD;24;;-3.70350434823083;40.4144118091127; PLAZA DE JACINTO BENAVENTE, S/N
35;439730,93;4473970,93;23/06/2014;01  CENTRO;01-01 PALACIO;CORDON, CALLE, DEL;4;BiciMAD;24;;-3.71036756657918;40.4141793032129; CALLE DEL CORDON, 4
36;439626,96;4474272,13;23/06/2014;01  CENTRO;01-01 PALACIO;RAMALES, PLAZA, DE;1;BiciMAD;24;;-3.71162151613913;40.4168851154485; PLAZA DE RAMALES, 1
37;439409,3;4473605,14;23/06/2014;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, PLAZA, DE;5;BiciMAD;24;;-3.7141233769735;40.4108607472815; PLAZA DE SAN FRANCISCO, 5
38;439637;4473651,64;23/06/2014;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;1;BiciMAD;24;;-3.71144430760326;40.4112961842108; CARRERA DE SAN FRANCISCO, 1
39;439844;4473646,66;23/06/2014;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;16;BiciMAD;27;;-3.70900429167601;40.411266307582; PLAZA DE LA CEBADA, 16
40;440207,51;4473923,52;23/06/2014;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;2;BiciMAD;24;;-3.70474625625613;40.4137865855426; CALLE DEL CONDE DE ROMANONES, 2
41;440694,54;4473746,65;15/01/2019;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;56;BiciMAD;18;;-3.69898977972563;40.4122280999799; CALLE DE ATOCHA, 56
42;440759,67;4473581,4;23/06/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;32;BiciMAD;24;;-3.69820680839403;40.410744084974; CALLE DE SANTA ISABEL, 32
43;440391,04;4473511,6;23/06/2014;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;36;BiciMAD;24;;-3.70254463551107;40.4100889764799; CALLE DE LAVAPIES, 36
44;440274,63;4473482,26;23/06/2014;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;35;BiciMAD;21;;-3.70391377891051;40.4098163234441; CALLE DEL MESON DE PAREDES, 35
45;439659,26;4473169,54;23/06/2014;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;BiciMAD;21;;-3.7111362525665;40.4069548154271; GLORIETA DE LA PUERTA DE TOLEDO, 1
46;439997,73;4473006,31;23/06/2014;02  ARGANZUELA;02-02 ACACIAS;RIBERA DE CURTIDORES, CALLE, DE LA;28;BiciMAD;24;;-3.70713216739199;40.405508824749; CALLE DE LA RIBERA DE CURTIDORES, 28
47;440368,37;4472905,07;23/06/2014;02  ARGANZUELA;02-02 ACACIAS;EMBAJADORES, GLORIETA, DE;7 B;BiciMAD;24;;-3.70275496863513;40.4046234347301; GLORIETA DE EMBAJADORES, 7 B
48;440424,7;4472996,09;23/06/2014;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, GLORIETA, DE;2;BiciMAD;24;;-3.70209969029089;40.4054474203451; GLORIETA DE EMBAJADORES, 2
49;440667,66;4473061,04;23/06/2014;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;36;BiciMAD;24;;-3.69924264482009;40.406049872348; RONDA DE ATOCHA, 36
50;441180,67;4473307,92;23/06/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;57;BiciMAD;24;;-3.69321996635869;40.4083102950552; CALLE DE SANTA ISABEL, 57
51;441148,47;4473243,04;23/06/2014;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;7;BiciMAD;27;;-3.69359343554837;40.4077235475341; PLAZA DEL EMPERADOR CARLOS V, 7
52;440544,34;4474002,06;23/06/2014;01  CENTRO;01-03 CORTES;SANTA ANA, PLAZA, DE;9;BiciMAD;24;;-3.70078382045651;40.414518241093; PLAZA DE SANTA ANA, 9
53;440543,46;4473309,62;23/06/2014;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;4;BiciMAD;24;;-3.70072948537524;40.4082803426672; CALLE DE VALENCIA, 4
54;440592,35;4475345,44;23/06/2014;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;7;BiciMAD;21;;-3.70034347247019;40.4266234703362; CALLE DE BARCELO, 7
55;440455,56;4475063,26;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN ILDEFONSO, PLAZA, DE;8;BiciMAD;24;;-3.70192951808313;40.4240716834595; PLAZA DE SAN ILDEFONSO, 8
56;440335,43;4474443,96;23/06/2014;01  CENTRO;01-06 SOL;CARMEN, PLAZA, DEL;1;BiciMAD;24;;-3.70328744599149;40.4184841351057; PLAZA DEL CARMEN, 1
57;439536,86;4475688,34;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24;BiciMAD;24;;-3.71281811499328;40.4296364220195; CALLE DE SANTA CRUZ DE MARCENADO, 24
58;440792,31;4474859,33;23/06/2014;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;33;BiciMAD;24;;-3.69794108992409;40.422258617772; CALLE DE AUGUSTO FIGUEROA, 33
59;440271,27;4475221,1;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;30;BiciMAD;24;;-3.70411666125937;40.4254803689631; CALLE DEL ESPIRITU SANTO, 30
60;441616,3;4474541,2;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;INDEPENDENCIA, PLAZA, DE LA;7;BiciMAD;24;;-3.68819934757539;40.4194509708304; PLAZA DE LA INDEPENDENCIA, 7
61;442720,29;4474753,26;23/06/2014;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;30;BiciMAD;24;;-3.67520600226714;40.4214380419294; CALLE DE O'DONNELL, 30
62;443105,21;4474725,61;23/06/2014;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;S/N;BiciMAD;24;;-3.67066643591901;40.4212153645977; CALLE DE O'DONNELL, S/N
63;443101,23;4474356,23;23/06/2014;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;64;BiciMAD;24;;-3.67068030225406;40.4178875219131; CALLE DE IBIZA, 64
65;441513,54;4474236,11;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;ANTONIO MAURA, CALLE, DE;15;BiciMAD;24;;-3.68938249653548;40.4166953525516; CALLE DE ANTONIO MAURA, 15
67;441190,08;4473587,45;23/06/2014;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28;BiciMAD;24;;-3.69313490661266;40.4108291066682; CALLE DE ALMADEN, 28
68;441358,92;4473802,81;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;ESPALTER, CALLE, DE;1;BiciMAD;21;;-3.69116494166326;40.4127810895463; CALLE DE ESPALTER, 1
69;441551,54;4473499,36;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;54;BiciMAD;27;;-3.68886693283177;40.4100610062565; CALLE DE ALFONSO XII, 54
70;442496,79;4474058,47;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;24;;-3.67777760257354;40.4151635981912; AVENIDA DE MENENDEZ PELAYO, S/N
71;442816,22;4474149,49;23/06/2014;03  RETIRO;03-06 NIÑO JESÚS;DOCE DE OCTUBRE, CALLE, DEL;28;BiciMAD;24;;-3.67402098183605;40.4160055633576; CALLE DEL DOCE DE OCTUBRE, 28
72;443189,11;4474115,08;23/06/2014;03  RETIRO;03-06 NIÑO JESÚS;DOCTOR ESQUERDO, CALLE, DEL;62;BiciMAD;24;;-3.66962296749408;40.415721117511; CALLE DEL DOCTOR ESQUERDO, 62
73;443229,99;4473642,11;23/06/2014;03  RETIRO;03-03 ESTRELLA;ASTROS, PLAZA, DE LOS;S/N;BiciMAD;24;;-3.66909894571725;40.4114631371817; PLAZA DE LOS ASTROS, S/N
74;442595,78;4473679,92;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;;-3.67657674958728;40.411760253523; AVENIDA DE MENENDEZ PELAYO, S/N
75;442436,91;4473301,34;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;;-3.67841484808581;40.4083388326929; AVENIDA DE MENENDEZ PELAYO, S/N
76;442712,67;4473182,27;23/06/2014;03  RETIRO;03-06 NIÑO JESÚS;MEDITERRANEO, AVENIDA, DEL;19;BiciMAD;24;;-3.67515434999313;40.4072852083776; AVENIDA DEL MEDITERRANEO, 19
77;443083,53;4473073,95;23/06/2014;03  RETIRO;03-01 PACÍFICO;CONDE DE CASAL, PLAZA, DEL;8;BiciMAD;22;;-3.6707742123271;40.4063348400326; PLAZA DEL CONDE DE CASAL, 8
78;442755,86;4472436,57;23/06/2014;03  RETIRO;03-02 ADELFAS;CERRO DE LA PLATA, CALLE, DEL;2;BiciMAD;24;;-3.67457830616019;40.4005705062457; CALLE DEL CERRO DE LA PLATA, 2
79;442252,73;4472937,49;23/06/2014;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;38;BiciMAD;24;;-3.68055235706881;40.4050483227132; AVENIDA DE MENENDEZ PELAYO, 38
080 a;441417,53;4473211,23;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;;-3.69041972525415;40.4074559641662; AVENIDA DE LA CIUDAD DE BARCELONA, S/N
080 b;441394,74;4473233,56;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;27;;-3.69069035315581;40.4076555201672; AVENIDA DE LA CIUDAD DE BARCELONA, S/N
81;441288,14;4473447,57;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;CLAUDIO MOYANO, CALLE, DE;S/N;BiciMAD;24;;-3.69196634254972;40.40957591943; CALLE DE CLAUDIO MOYANO, S/N
82;443177,93;4473311,29;23/06/2014;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;2;BiciMAD;24;;-3.66968294973037;40.4084793777221; CALLE DE LA LIRA, 2
83;442770,38;4473844,96;23/06/2014;03  RETIRO;03-06 NIÑO JESÚS;PIO BAROJA, CALLE, DE;8 B;BiciMAD;24;;-3.67453386290371;40.4132590448197; CALLE DE PIO BAROJA, 8 B
84;442918,27;4472746,05;23/06/2014;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;191;BiciMAD;27;;-3.67269230594786;40.4033696223995; CALLE DEL DOCTOR ESQUERDO, 191
85;442319,29;4474723,43;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;;-3.67992991951846;40.4211416171173; AVENIDA DE MENENDEZ PELAYO, S/N
86;441180,29;4474447,71;22/09/2014;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;S/N;BiciMAD;21;;-3.69332982484834;40.4185780623785; PASEO DEL PRADO, S/N
87;442016,68;4475450,66;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;AYALA, CALLE, DE;44;BiciMAD;24;;-3.68356310915291;40.427671835026; CALLE DE AYALA, 44
88;442004,11;4475843,28;23/06/2014;04  SALAMANCA;04-06 CASTELLANA;VELAZQUEZ, CALLE, DE;73;BiciMAD;24;;-3.68374710672573;40.4312078719674; CALLE DE VELAZQUEZ, 73
89;442728,15;4475399,8;23/06/2014;04  SALAMANCA;04-02 GOYA;AYALA, CALLE, DE;102;BiciMAD;24;;-3.67517159096345;40.4272629473061; CALLE DE AYALA, 102
90;442000,33;4475163,96;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;18;BiciMAD;24;;-3.6837296911372;40.4250879599628; CALLE DE GOYA, 18
090 ampliacion;442014,61;4475162,88;15/01/2018;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;20;BiciMAD;6;;-3.68356126408538;40.4250792261651; CALLE DE GOYA, 20
91;442417,66;4475274,35;23/06/2014;04  SALAMANCA;04-02 GOYA;HERMOSILLA, CALLE, DE;73;BiciMAD;24;;-3.67882031853471;40.4261113974623; CALLE DE HERMOSILLA, 73
92;441767,83;4475291,85;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;45;BiciMAD;24;;-3.68648204673692;40.4262238150408; CALLE DE CLAUDIO COELLO, 45
93;441518,8;4475235,48;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;3;BiciMAD;24;;-3.68941240253483;40.4256985386158; CALLE DE GOYA, 3
94;441407,18;4474977,73;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;RECOLETOS, PASEO, DE;S/N;BiciMAD;21;;-3.69070440545647;40.4233687482493; PASEO DE RECOLETOS, S/N
95;441721,55;4474897;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;19;BiciMAD;24;;-3.68699140072682;40.422663571641; CALLE DE CLAUDIO COELLO, 19
96;442140,46;4474825,84;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;111;BiciMAD;27;;-3.68204711187334;40.4220517624027; CALLE DE ALCALA, 111
97;442301,64;4474872,66;23/06/2014;04  SALAMANCA;04-02 GOYA;MENENDEZ PELAYO, AVENIDA, DE;1;BiciMAD;27;;-3.68015150051669;40.4224847331076; AVENIDA DE MENENDEZ PELAYO, 1
98;442705,5;4475058,99;23/06/2014;04  SALAMANCA;04-02 GOYA;FELIPE II, AVENIDA, DE;5;BiciMAD;24;;-3.67540787998132;40.4241911971061; AVENIDA DE FELIPE II, 5
99;442829,62;4475270,48;23/06/2014;04  SALAMANCA;04-02 GOYA;ALCANTARA, CALLE, DE;2;BiciMAD;24;;-3.6739638219123;40.4261049458861; CALLE DE ALCANTARA, 2
100;442835,81;4475123,85;23/06/2014;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;99;BiciMAD;24;;-3.67387767153137;40.4247844528007; CALLE DE GOYA, 99
101;443212,16;4474936,49;23/06/2014;04  SALAMANCA;04-02 GOYA;JORGE JUAN, CALLE, DE;131;BiciMAD;24;;-3.66942464043484;40.4231223887943; CALLE DE JORGE JUAN, 131
102;441967,18;4474727,67;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;95;BiciMAD;24;;-3.68408063656288;40.4211553304146; CALLE DE ALCALA, 95
103;441766,91;4475752,49;23/06/2014;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;4;BiciMAD;24;;-3.68653508715422;40.4303734196678; CALLE DE JOSE ORTEGA Y GASSET, 4
104;441505,58;4475354,07;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;CASTELLANA, PASEO, DE LA;4;BiciMAD;21;;-3.68957914803002;40.4267659252939; PASEO DE LA CASTELLANA, 4
105;441684,37;4475386,27;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;46;BiciMAD;24;;-3.68747452577635;40.4270685503846; CALLE DE SERRANO, 46
106;441648,47;4475149,56;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;32;BiciMAD;36;;-3.68787599205381;40.4249336341329; CALLE DE SERRANO, 32
107;441599,07;4474779,37;23/06/2014;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;8;BiciMAD;24;;-3.68842430393819;40.421595314951; CALLE DE SERRANO, 8
108;443111,6;4475416,83;23/06/2014;04  SALAMANCA;04-02 GOYA;MARTIRES CONCEPCIONISTAS, CALLE, DE LAS;2;BiciMAD;27;;-3.6706529593639;40.4274426720256; CALLE DE LAS MARTIRES CONCEPCIONISTAS, 2
109;442191,64;4475721,98;23/06/2014;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;32;BiciMAD;24;;-3.68152532405308;40.4301281960159; CALLE DE JOSE ORTEGA Y GASSET, 32
